"DBpediaProp","itemLabel","WikidataProp"
"http://dbpedia.org/ontology/abbreviation","abbreviation","http://www.wikidata.org/entity/P743"
"http://dbpedia.org/ontology/absoluteMagnitude","absolute magnitude","http://www.wikidata.org/entity/P1457"
"http://dbpedia.org/ontology/activity","activity","http://www.wikidata.org/entity/P106"
"http://dbpedia.org/ontology/address","address","http://www.wikidata.org/entity/P969"
"http://dbpedia.org/ontology/alias","alias","http://www.wikidata.org/entity/P742"
"http://dbpedia.org/ontology/almaMater","alma mater","http://www.wikidata.org/entity/P69"
"http://dbpedia.org/ontology/amgid","amgId","http://www.wikidata.org/entity/P1562"
"http://dbpedia.org/ontology/anthem","anthem","http://www.wikidata.org/entity/P85"
"http://dbpedia.org/ontology/apparentMagnitude","apparent magnitude","http://www.wikidata.org/entity/P1215"
"http://dbpedia.org/ontology/architect","architect","http://www.wikidata.org/entity/P84"
"http://dbpedia.org/ontology/architecturalStyle","architectural style","http://www.wikidata.org/entity/P149"
"http://dbpedia.org/ontology/areaCode","area code","http://www.wikidata.org/entity/P473"
"http://dbpedia.org/ontology/areaTotal","area total (m2)","http://www.wikidata.org/entity/P2046"
"http://dbpedia.org/ontology/artist","performer","http://www.wikidata.org/entity/P175"
"http://dbpedia.org/ontology/atomicNumber","atomic number","http://www.wikidata.org/entity/P1086"
"http://dbpedia.org/ontology/author","author","http://www.wikidata.org/entity/P50"
"http://dbpedia.org/ontology/award","award","http://www.wikidata.org/entity/P166"
"http://dbpedia.org/ontology/bSide","b side","http://www.wikidata.org/entity/P1432"
"http://dbpedia.org/ontology/basedOn","based on","http://www.wikidata.org/entity/P144"
"http://dbpedia.org/ontology/battle","battle","http://www.wikidata.org/entity/P607"
"http://dbpedia.org/ontology/bibsysId","BIBSYS Id","http://www.wikidata.org/entity/P1015"
"http://dbpedia.org/ontology/birthDate","birth date","http://www.wikidata.org/entity/P569"
"http://dbpedia.org/ontology/birthName","birth name","http://www.wikidata.org/entity/P1477"
"http://dbpedia.org/ontology/birthPlace","birth place","http://www.wikidata.org/entity/P19"
"http://dbpedia.org/ontology/birthYear","birth year","http://www.wikidata.org/entity/P569"
"http://dbpedia.org/ontology/bnfId","BNF Id","http://www.wikidata.org/entity/P268"
"http://dbpedia.org/ontology/budget","budget ($)","http://www.wikidata.org/entity/P2769"
"http://dbpedia.org/ontology/builder","builder","http://www.wikidata.org/entity/P176"
"http://dbpedia.org/ontology/capital","capital","http://www.wikidata.org/entity/P36"
"http://dbpedia.org/ontology/causeOfDeath","cause of death","http://www.wikidata.org/entity/P509"
"http://dbpedia.org/ontology/ceo","chief executive officer","http://www.wikidata.org/entity/P169"
"http://dbpedia.org/ontology/child","child","http://www.wikidata.org/entity/P40"
"http://dbpedia.org/ontology/chromosome","chromosome","http://www.wikidata.org/entity/P1057"
"http://dbpedia.org/ontology/cinematography","cinematography","http://www.wikidata.org/entity/P344"
"http://dbpedia.org/ontology/citizenship","citizenship","http://www.wikidata.org/entity/P27"
"http://dbpedia.org/ontology/city","city","http://www.wikidata.org/entity/P131"
"http://dbpedia.org/ontology/classis","classis","http://www.wikidata.org/entity/P77"
"http://dbpedia.org/ontology/coatOfArms","coat of arms image","http://www.wikidata.org/entity/P94"
"http://dbpedia.org/ontology/coden","CODEN","http://www.wikidata.org/entity/P1159"
"http://dbpedia.org/ontology/colour","colour","http://www.wikidata.org/entity/P462"
"http://dbpedia.org/ontology/composer","composer","http://www.wikidata.org/entity/P86"
"http://dbpedia.org/ontology/compressionRatio","compression ratio","http://www.wikidata.org/entity/P1247"
"http://dbpedia.org/ontology/computingPlatform","computing platform","http://www.wikidata.org/entity/P400"
"http://dbpedia.org/ontology/constellation","constellation","http://www.wikidata.org/entity/P59"
"http://dbpedia.org/ontology/constructionMaterial","construction material","http://www.wikidata.org/entity/P186"
"http://dbpedia.org/ontology/continent","continent","http://www.wikidata.org/entity/P30"
"http://dbpedia.org/ontology/cosparId","COSPAR id","http://www.wikidata.org/entity/P247"
"http://dbpedia.org/ontology/country","country","http://www.wikidata.org/entity/P17"
"http://dbpedia.org/ontology/county","county","http://www.wikidata.org/entity/P131"
"http://dbpedia.org/ontology/coverArtist","cover artist","http://www.wikidata.org/entity/P736"
"http://dbpedia.org/ontology/cpu","CPU","http://www.wikidata.org/entity/P880"
"http://dbpedia.org/ontology/creator","creator (agent)","http://www.wikidata.org/entity/P170"
"http://dbpedia.org/ontology/crewMember","crew member","http://www.wikidata.org/entity/P1029"
"http://dbpedia.org/ontology/crosses","crosses","http://www.wikidata.org/entity/P177"
"http://dbpedia.org/ontology/currency","currency","http://www.wikidata.org/entity/P38"
"http://dbpedia.org/ontology/currencyCode","currency code","http://www.wikidata.org/entity/P498"
"http://dbpedia.org/ontology/date","date","http://www.wikidata.org/entity/P585"
"http://dbpedia.org/ontology/dcc","Dewey Decimal Classification","http://www.wikidata.org/entity/P1036"
"http://dbpedia.org/ontology/deathCause","death cause","http://www.wikidata.org/entity/P509"
"http://dbpedia.org/ontology/deathDate","death date","http://www.wikidata.org/entity/P570"
"http://dbpedia.org/ontology/deathPlace","death place","http://www.wikidata.org/entity/P20"
"http://dbpedia.org/ontology/designer","designer","http://www.wikidata.org/entity/P287"
"http://dbpedia.org/ontology/developer","developer","http://www.wikidata.org/entity/P178"
"http://dbpedia.org/ontology/diameter","diameter (μ)","http://www.wikidata.org/entity/P2386"
"http://dbpedia.org/ontology/diocese","diocese","http://www.wikidata.org/entity/P708"
"http://dbpedia.org/ontology/director","film director","http://www.wikidata.org/entity/P57"
"http://dbpedia.org/ontology/disappearanceDate","date disappearance of a populated place","http://www.wikidata.org/entity/P746"
"http://dbpedia.org/ontology/discipline","discipline","http://www.wikidata.org/entity/P101"
"http://dbpedia.org/ontology/discovered","discovery date","http://www.wikidata.org/entity/P575"
"http://dbpedia.org/ontology/discoverer","discoverer","http://www.wikidata.org/entity/P61"
"http://dbpedia.org/ontology/diseasesDb","diseasesDb","http://www.wikidata.org/entity/P557"
"http://dbpedia.org/ontology/distributor","distributor","http://www.wikidata.org/entity/P750"
"http://dbpedia.org/ontology/district","district","http://www.wikidata.org/entity/P131"
"http://dbpedia.org/ontology/doctoralAdvisor","doctoral advisor","http://www.wikidata.org/entity/P184"
"http://dbpedia.org/ontology/doctoralStudent","doctoral student","http://www.wikidata.org/entity/P185"
"http://dbpedia.org/ontology/ecNumber","EC number","http://www.wikidata.org/entity/P591"
"http://dbpedia.org/ontology/editing","editing","http://www.wikidata.org/entity/P1040"
"http://dbpedia.org/ontology/editor","editor","http://www.wikidata.org/entity/P98"
"http://dbpedia.org/ontology/education","education","http://www.wikidata.org/entity/P69"
"http://dbpedia.org/ontology/einecsNumber","EINECS number","http://www.wikidata.org/entity/P232"
"http://dbpedia.org/ontology/elevation","elevation (μ)","http://www.wikidata.org/entity/P2044"
"http://dbpedia.org/ontology/elo","ELO rating","http://www.wikidata.org/entity/P1087"
"http://dbpedia.org/ontology/emblem","emblem","http://www.wikidata.org/entity/P158"
"http://dbpedia.org/ontology/employer","employer","http://www.wikidata.org/entity/P108"
"http://dbpedia.org/ontology/endDate","end date","http://www.wikidata.org/entity/P582"
"http://dbpedia.org/ontology/era","era","http://www.wikidata.org/entity/P2348"
"http://dbpedia.org/ontology/ethnicity","ethnicity","http://www.wikidata.org/entity/P172"
"http://dbpedia.org/ontology/eyeColor","eye color","http://www.wikidata.org/entity/P1340"
