item,itemLabel,uri
http://www.wikidata.org/entity/Q144,Hund,http://wordnet-rdf.princeton.edu/wn30/02084071-n
http://www.wikidata.org/entity/Q177,Pizza,http://wordnet-rdf.princeton.edu/wn30/07873807-n
http://www.wikidata.org/entity/Q5414,Deutsche Dogge,http://wordnet-rdf.princeton.edu/wn30/02109047-n
http://www.wikidata.org/entity/Q7987,Maus,http://wordnet-rdf.princeton.edu/wn30/03793489-n
http://www.wikidata.org/entity/Q11707,Restaurant,http://wordnet-rdf.princeton.edu/wn30/04081281-n
http://www.wikidata.org/entity/Q12876,Panzer,http://wordnet-rdf.princeton.edu/wn30/04389033-n
http://www.wikidata.org/entity/Q7560,Mutter,http://wordnet-rdf.princeton.edu/wn30/10332385-n
http://www.wikidata.org/entity/Q38751,Malteser,http://wordnet-rdf.princeton.edu/wn30/02085936-n
http://www.wikidata.org/entity/Q41960,Westlicher Kleiner Panda,http://wordnet-rdf.princeton.edu/wn30/02509815-n
http://www.wikidata.org/entity/Q42177,Bett,http://wordnet-rdf.princeton.edu/wn30/02818832-n
http://www.wikidata.org/entity/Q39777,Maracas,http://wordnet-rdf.princeton.edu/wn30/03720891-n
http://www.wikidata.org/entity/Q37507,Streichholz,http://wordnet-rdf.princeton.edu/wn30/03729826-n
http://www.wikidata.org/entity/Q76280,Schleie,http://wordnet-rdf.princeton.edu/wn30/01440764-n
http://www.wikidata.org/entity/Q75794,Blase,http://wordnet-rdf.princeton.edu/wn30/09229709-n
http://www.wikidata.org/entity/Q79838,Akkordeon,http://wordnet-rdf.princeton.edu/wn30/02672831-n
http://www.wikidata.org/entity/Q81235,Geldautomat,http://wordnet-rdf.princeton.edu/wn30/02977058-n
http://www.wikidata.org/entity/Q190858,Gazellen,http://wordnet-rdf.princeton.edu/wn30/02423022-n
http://www.wikidata.org/entity/Q188886,Kombi,http://wordnet-rdf.princeton.edu/wn30/02814533-n
http://www.wikidata.org/entity/Q187140,Becherglas,http://wordnet-rdf.princeton.edu/wn30/02815834-n
http://www.wikidata.org/entity/Q187359,Windel,http://wordnet-rdf.princeton.edu/wn30/03188531-n
http://www.wikidata.org/entity/Q192411,Taschentuch,http://wordnet-rdf.princeton.edu/wn30/03485794-n
http://www.wikidata.org/entity/Q193897,Pinsel,http://wordnet-rdf.princeton.edu/wn30/03876231-n
http://www.wikidata.org/entity/Q181890,Plektrum,http://wordnet-rdf.princeton.edu/wn30/03929660-n
http://www.wikidata.org/entity/Q215857,Bücherregal,http://wordnet-rdf.princeton.edu/wn30/02870880-n
http://www.wikidata.org/entity/Q211584,Selbstbedienungsautomat,http://wordnet-rdf.princeton.edu/wn30/04525305-n
http://www.wikidata.org/entity/Q127956,Mikrowellenherd,http://wordnet-rdf.princeton.edu/wn30/03761084-n
http://www.wikidata.org/entity/Q134566,Waage,http://wordnet-rdf.princeton.edu/wn30/04141975-n
http://www.wikidata.org/entity/Q181008,Puzzle,http://wordnet-rdf.princeton.edu/wn30/03598930-n
http://www.wikidata.org/entity/Q178805,Joystick,http://wordnet-rdf.princeton.edu/wn30/03602883-n
http://www.wikidata.org/entity/Q181348,Viadukt,http://wordnet-rdf.princeton.edu/wn30/04532670-n
http://www.wikidata.org/entity/Q527395,Knoten,http://wordnet-rdf.princeton.edu/wn30/03627232-n
http://www.wikidata.org/entity/Q482816,Fallschirm,http://wordnet-rdf.princeton.edu/wn30/03888257-n
http://www.wikidata.org/entity/Q468794,Poncho,http://wordnet-rdf.princeton.edu/wn30/03980874-n
http://www.wikidata.org/entity/Q516844,Bierglas,http://wordnet-rdf.princeton.edu/wn30/02823750-n
http://www.wikidata.org/entity/Q510176,Kassettenrekorder,http://wordnet-rdf.princeton.edu/wn30/02979186-n
http://www.wikidata.org/entity/Q498439,Plastikbeutel,http://wordnet-rdf.princeton.edu/wn30/03958227-n
http://www.wikidata.org/entity/Q258896,Banjo,http://wordnet-rdf.princeton.edu/wn30/02787622-n
http://www.wikidata.org/entity/Q268828,Gehhilfe,http://wordnet-rdf.princeton.edu/wn30/03141823-n
http://www.wikidata.org/entity/Q281460,Pfeifenorgel,http://wordnet-rdf.princeton.edu/wn30/03854065-n
http://www.wikidata.org/entity/Q311666,Projektor,http://wordnet-rdf.princeton.edu/wn30/04009552-n
http://www.wikidata.org/entity/Q335297,Pfeiler,http://wordnet-rdf.princeton.edu/wn30/03933933-n
http://www.wikidata.org/entity/Q322483,Fingerhut,http://wordnet-rdf.princeton.edu/wn30/04423845-n
http://www.wikidata.org/entity/Q321046,Jalousie,http://wordnet-rdf.princeton.edu/wn30/04590129-n
http://www.wikidata.org/entity/Q322787,Kartoffelpüree,http://wordnet-rdf.princeton.edu/wn30/07711569-n
http://www.wikidata.org/entity/Q857319,Junco,http://wordnet-rdf.princeton.edu/wn30/01534433-n
http://www.wikidata.org/entity/Q858236,Bruststück,http://wordnet-rdf.princeton.edu/wn30/02895154-n
http://www.wikidata.org/entity/Q852190,Schiffswrack,http://wordnet-rdf.princeton.edu/wn30/04606251-n
http://www.wikidata.org/entity/Q910768,Fliegengitter,http://wordnet-rdf.princeton.edu/wn30/04589890-n
http://www.wikidata.org/entity/Q1056508,Cervicalstütze,http://wordnet-rdf.princeton.edu/wn30/03814639-n
http://www.wikidata.org/entity/Q689880,Bohrplattform,http://wordnet-rdf.princeton.edu/wn30/03240683-n
http://www.wikidata.org/entity/Q745751,Kitfuchs,http://wordnet-rdf.princeton.edu/wn30/02119789-n
http://www.wikidata.org/entity/Q2234382,Schiebetür,http://wordnet-rdf.princeton.edu/wn30/04239074-n
http://www.wikidata.org/entity/Q4342445,stole,http://wordnet-rdf.princeton.edu/wn30/04325704-n
http://www.wikidata.org/entity/Q9166501,Güterwagen,http://wordnet-rdf.princeton.edu/wn30/03393912-n
http://www.wikidata.org/entity/Q786732,Felge,http://wordnet-rdf.princeton.edu/wn30/02974003-n
http://www.wikidata.org/entity/Q15037754,Kart,http://wordnet-rdf.princeton.edu/wn30/03444034-n
http://www.wikidata.org/entity/Q16875637,Querflöten,http://wordnet-rdf.princeton.edu/wn30/03372029-n
http://www.wikidata.org/entity/Q47519477,dial telephone,http://wordnet-rdf.princeton.edu/wn30/03187595-n
http://www.wikidata.org/entity/Q653,Chihuahua,http://wordnet-rdf.princeton.edu/wn30/02085620-n
http://www.wikidata.org/entity/Q25418,Stieglitz,http://wordnet-rdf.princeton.edu/wn30/01531178-n
http://www.wikidata.org/entity/Q39285,Staffordshire Bullterrier,http://wordnet-rdf.princeton.edu/wn30/02093256-n
http://www.wikidata.org/entity/Q37077,Nagel,http://wordnet-rdf.princeton.edu/wn30/03804744-n
http://www.wikidata.org/entity/Q6573,Hamster Bleon UHU,http://wordnet-rdf.princeton.edu/wn30/02342885-n
http://www.wikidata.org/entity/Q5607,Modem,http://wordnet-rdf.princeton.edu/wn30/03777754-n
http://www.wikidata.org/entity/Q1827,Rotwein,http://wordnet-rdf.princeton.edu/wn30/07892512-n
http://www.wikidata.org/entity/Q15343,Schnabeltier,http://wordnet-rdf.princeton.edu/wn30/01873310-n
http://www.wikidata.org/entity/Q17700,Nerz,http://wordnet-rdf.princeton.edu/wn30/02442845-n
http://www.wikidata.org/entity/Q17205,Flugzeugträger,http://wordnet-rdf.princeton.edu/wn30/02687172-n
http://www.wikidata.org/entity/Q12714,Dosenöffner,http://wordnet-rdf.princeton.edu/wn30/02951585-n
http://www.wikidata.org/entity/Q12493,Kuppel,http://wordnet-rdf.princeton.edu/wn30/03220513-n
http://www.wikidata.org/entity/Q20463,Müllwagen,http://wordnet-rdf.princeton.edu/wn30/03417042-n
http://www.wikidata.org/entity/Q12796,Feuerwaffe,http://wordnet-rdf.princeton.edu/wn30/03467984-n
http://www.wikidata.org/entity/Q12570,Hängebrücke,http://wordnet-rdf.princeton.edu/wn30/04366367-n
http://www.wikidata.org/entity/Q13191,Orange,http://wordnet-rdf.princeton.edu/wn30/07747607-n
http://www.wikidata.org/entity/Q42610,Perserkatze,http://wordnet-rdf.princeton.edu/wn30/02123394-n
http://www.wikidata.org/entity/Q40607,Vorhängeschloss,http://wordnet-rdf.princeton.edu/wn30/03874599-n
http://www.wikidata.org/entity/Q56155,Desktop-Computer,http://wordnet-rdf.princeton.edu/wn30/03180011-n
