item,itemLabel,uri
http://www.wikidata.org/entity/Q144,dog,http://wordnet-rdf.princeton.edu/wn30/02084071-n
http://www.wikidata.org/entity/Q177,pizza,http://wordnet-rdf.princeton.edu/wn30/07873807-n
http://www.wikidata.org/entity/Q5414,Great Dane,http://wordnet-rdf.princeton.edu/wn30/02109047-n
http://www.wikidata.org/entity/Q7987,mouse,http://wordnet-rdf.princeton.edu/wn30/03793489-n
http://www.wikidata.org/entity/Q11707,restaurant,http://wordnet-rdf.princeton.edu/wn30/04081281-n
http://www.wikidata.org/entity/Q12876,tank,http://wordnet-rdf.princeton.edu/wn30/04389033-n
http://www.wikidata.org/entity/Q7560,mother,http://wordnet-rdf.princeton.edu/wn30/10332385-n
http://www.wikidata.org/entity/Q38751,Maltese,http://wordnet-rdf.princeton.edu/wn30/02085936-n
http://www.wikidata.org/entity/Q41960,Ailurus fulgens,http://wordnet-rdf.princeton.edu/wn30/02509815-n
http://www.wikidata.org/entity/Q42177,bed,http://wordnet-rdf.princeton.edu/wn30/02818832-n
http://www.wikidata.org/entity/Q39777,maraca,http://wordnet-rdf.princeton.edu/wn30/03720891-n
http://www.wikidata.org/entity/Q37507,match,http://wordnet-rdf.princeton.edu/wn30/03729826-n
http://www.wikidata.org/entity/Q76280,tench,http://wordnet-rdf.princeton.edu/wn30/01440764-n
http://www.wikidata.org/entity/Q75794,bubble,http://wordnet-rdf.princeton.edu/wn30/09229709-n
http://www.wikidata.org/entity/Q79838,accordion,http://wordnet-rdf.princeton.edu/wn30/02672831-n
http://www.wikidata.org/entity/Q81235,automated teller machine,http://wordnet-rdf.princeton.edu/wn30/02977058-n
http://www.wikidata.org/entity/Q190858,Gazella,http://wordnet-rdf.princeton.edu/wn30/02423022-n
http://www.wikidata.org/entity/Q188886,station wagon,http://wordnet-rdf.princeton.edu/wn30/02814533-n
http://www.wikidata.org/entity/Q187140,beaker,http://wordnet-rdf.princeton.edu/wn30/02815834-n
http://www.wikidata.org/entity/Q187359,diaper,http://wordnet-rdf.princeton.edu/wn30/03188531-n
http://www.wikidata.org/entity/Q192411,handkerchief,http://wordnet-rdf.princeton.edu/wn30/03485794-n
http://www.wikidata.org/entity/Q193897,paintbrush,http://wordnet-rdf.princeton.edu/wn30/03876231-n
http://www.wikidata.org/entity/Q181890,plectrum,http://wordnet-rdf.princeton.edu/wn30/03929660-n
http://www.wikidata.org/entity/Q215857,bookcase,http://wordnet-rdf.princeton.edu/wn30/02870880-n
http://www.wikidata.org/entity/Q211584,vending machine,http://wordnet-rdf.princeton.edu/wn30/04525305-n
http://www.wikidata.org/entity/Q127956,microwave oven,http://wordnet-rdf.princeton.edu/wn30/03761084-n
http://www.wikidata.org/entity/Q134566,weighing scale,http://wordnet-rdf.princeton.edu/wn30/04141975-n
http://www.wikidata.org/entity/Q181008,jigsaw puzzle,http://wordnet-rdf.princeton.edu/wn30/03598930-n
http://www.wikidata.org/entity/Q178805,joystick,http://wordnet-rdf.princeton.edu/wn30/03602883-n
http://www.wikidata.org/entity/Q181348,viaduct,http://wordnet-rdf.princeton.edu/wn30/04532670-n
http://www.wikidata.org/entity/Q527395,knot,http://wordnet-rdf.princeton.edu/wn30/03627232-n
http://www.wikidata.org/entity/Q258896,banjo,http://wordnet-rdf.princeton.edu/wn30/02787622-n
http://www.wikidata.org/entity/Q268828,crutch,http://wordnet-rdf.princeton.edu/wn30/03141823-n
http://www.wikidata.org/entity/Q281460,pipe organ,http://wordnet-rdf.princeton.edu/wn30/03854065-n
http://www.wikidata.org/entity/Q311666,projector,http://wordnet-rdf.princeton.edu/wn30/04009552-n
http://www.wikidata.org/entity/Q335297,pier,http://wordnet-rdf.princeton.edu/wn30/03933933-n
http://www.wikidata.org/entity/Q322483,thimble,http://wordnet-rdf.princeton.edu/wn30/04423845-n
http://www.wikidata.org/entity/Q321046,window blind,http://wordnet-rdf.princeton.edu/wn30/04590129-n
http://www.wikidata.org/entity/Q322787,mashed potato,http://wordnet-rdf.princeton.edu/wn30/07711569-n
http://www.wikidata.org/entity/Q482816,parachute,http://wordnet-rdf.princeton.edu/wn30/03888257-n
http://www.wikidata.org/entity/Q468794,poncho,http://wordnet-rdf.princeton.edu/wn30/03980874-n
http://www.wikidata.org/entity/Q516844,beer glass,http://wordnet-rdf.princeton.edu/wn30/02823750-n
http://www.wikidata.org/entity/Q510176,cassette deck,http://wordnet-rdf.princeton.edu/wn30/02979186-n
http://www.wikidata.org/entity/Q498439,plastic bag,http://wordnet-rdf.princeton.edu/wn30/03958227-n
http://www.wikidata.org/entity/Q910768,window screen,http://wordnet-rdf.princeton.edu/wn30/04589890-n
