,Class ID,imageNet_class,max_similarity_ratio,dbpedia_class
404,404,['airliner'],93,airline
478,478,['carton'],92,cartoon
726,726,"['plane', ""carpenter's plane"", 'woodworking plane']",91,planet
900,900,['water tower'],91,Water tower
698,698,['palace'],91,place
519,519,['crate'],91,crater
818,818,"['spotlight', 'spot']",89,sport
751,751,"['racer', 'race car', 'racing car']",89,race
745,745,['projector'],88,project
562,562,['fountain'],88,mountain
312,312,['cricket'],88,cricketer
660,660,"['mobile home', 'manufactured home']",87,mobile phone
946,946,['cardoon'],86,cartoon
742,742,['printer'],86,painter
600,600,"['hook', 'claw']",86,law
998,998,"['ear', 'spike', 'capitulum']",86,year
738,738,"['pot', 'flowerpot']",86,poet
468,468,"['cab', 'hack', 'taxi', 'taxicab']",86,tax
290,290,"['jaguar', 'panther', 'Panthera onca', 'Felis onca']",86,painter
309,309,['bee'],86,beer
909,909,['wok'],86,work
989,989,"['hip', 'rose hip', 'rosehip']",86,ship
880,880,"['unicycle', 'monocycle']",84,motorcycle
866,866,['tractor'],83,actor
752,752,"['racket', 'racquet']",83,rocket
471,471,['cannon'],83,canton
652,652,['military uniform'],83,military unit
765,765,"['rocking chair', 'rocker']",83,rocket
22,22,"['bald eagle', 'American eagle', 'Haliaeetus leucocephalus']",83,American Leader
744,744,"['projectile', 'missile']",82,project
851,851,"['television', 'television system']",81,television host
868,868,['tray'],80,treaty
452,452,"['bonnet', 'poke bonnet']",80,bone
365,365,"['orangutan', 'orang', 'orangutang', 'Pongo pygmaeus']",80,organ
684,684,"['ocarina', 'sweet potato']",80,cardinal
778,778,"['scale', 'weighing machine']",80,sales
430,430,['basketball'],80,basketball team
438,438,['beaker'],80,beer
112,112,['conch'],80,coach
819,819,['stage'],80,state
294,294,"['brown bear', 'bruin', 'Ursus arctos']",80,brain
923,923,['plate'],80,place
964,964,['potpie'],80,pope
662,662,['modem'],80,model
226,226,['briard'],80,bird
314,314,"['cockroach', 'roach']",80,coach
337,337,['beaver'],80,beer
775,775,['sarong'],80,song
889,889,"['violin', 'fiddle']",80,file
977,977,"['sandbar', 'sand bar']",80,standard
621,621,"['lawn mower', 'mower']",80,rower
626,626,"['lighter', 'light', 'igniter', 'ignitor']",80,minister
988,988,['acorn'],80,actor
40,40,"['American chameleon', 'anole', 'Anolis carolinensis']",80,noble
870,870,"['tricycle', 'trike', 'velocipede']",78,motorcycle
848,848,['tape player'],78,poker player
707,707,"['pay-phone', 'pay-station']",78,station
830,830,['stretcher'],78,streetcar
784,784,['screwdriver'],78,screenwriter
874,874,"['trolleybus', 'trolley coach', 'trackless trolley']",77,college coach
395,395,"['gar', 'garfish', 'garpike', 'billfish', 'Lepisosteus osseus']",77,parish
375,375,"['colobus', 'colobus monkey']",77,colour
322,322,"['ringlet', 'ringlet butterfly']",77,single
36,36,['terrapin'],77,train
816,816,['spindle'],77,single
472,472,['canoe'],77,canoeist
791,791,['shopping cart'],77,shopping mall
513,513,"['cornet', 'horn', 'trumpet', 'trump']",77,contest
415,415,"['bakery', 'bakeshop', 'bakehouse']",77,battery
412,412,"['ashcan', 'trash can', 'garbage can', 'wastebin', 'ash bin', 'ash-bin', 'ashbin', 'dustb', 'trash barrel', ""trash bin'"", '']",77,fashion
845,845,['syringe'],77,single
231,231,['collie'],77,college
890,890,['volleyball'],77,volleyball coach
990,990,"['buckeye', 'horse chestnut', 'conker']",77,conifer
820,820,['steam locomotive'],77,locomotive
828,828,['strainer'],77,train
429,429,['baseball'],76,baseball team
817,817,"['sports car', 'sport car']",76,sports team
895,895,"['warplane', 'military plane']",76,military person
560,560,['football helmet'],76,football match
132,132,"['American egret', 'great white heron', 'Egretta albus']",76,American Leader
671,671,"['mountain bike', 'all-terrain bike', 'off-roader']",76,mountain
672,672,['mountain tent'],76,mountain
64,64,['green mamba'],76,green alga
400,400,"['academic gown', 'academic robe', ""judge's robe""]",76,academic journal
733,733,['pole'],75,poem
832,832,"['stupa', 'tope']",75,type
451,451,"['bolo tie', 'bolo', 'bola tie', 'bola']",75,book
725,725,"['pitcher', 'ewer']",75,beer
847,847,"['tank', 'army tank', 'armored combat vehicle', 'armoured combat vehicle']",75,bank
459,459,"['brassiere', 'bra', 'bandeau']",75,brain
849,849,['teapot'],75,team sport
536,536,"['dock', 'dockage', 'docking facility']",75,lock
859,859,['toaster'],75,monastery
578,578,['gown'],75,town
541,541,"['drum', 'membranophone', 'tympan']",75,drug
331,331,['hare'],75,area
498,498,"['cinema', 'movie theater', 'movie theatre', 'movie house', 'picture palace']",75,movie genre
978,978,"['seashore', 'coast', 'seacoast', 'sea-coast']",75,cat
983,983,['scuba diver'],75,nascar driver
650,650,"['microphone', 'mike']",75,dike
655,655,"['miniskirt', 'mini']",75,mine
23,23,['vulture'],75,Sculpture
883,883,['vase'],75,case
863,863,['totem pole'],75,temple
637,637,"['mailbox', 'letter box']",75,letter
714,714,"['pick', 'plectrum', 'plectron']",75,Election
348,348,"['ram', 'tup']",75,drama
7,7,['cock'],75,lock
357,357,['mink'],75,mine
494,494,"['chime', 'bell', 'gong']",75,song
310,310,"['ant', 'emmet', 'pismire']",75,plant
399,399,['abaya'],75,bay
961,961,['dough'],75,dog
425,425,['barn'],75,bank
507,507,['combination lock'],75,combination drug
555,555,"['fire engine', 'fire truck']",75,rocket engine
806,806,['sock'],75,lock
474,474,['cardigan'],75,cardinal
427,427,"['barrel', 'cask']",75,case
426,426,['barometer'],75,baronet
867,867,"['trailer truck', 'tractor trailer', 'trucking rig', 'rig', 'articulated lorry', 'sem', '']",75,reign
683,683,"['oboe', 'hautboy', 'hautbois']",75,bone
421,421,"['bannister', 'banister', 'balustrade', 'balusters', 'handrail']",75,minister
795,795,['ski'],75,skier
944,944,"['artichoke', 'globe artichoke']",75,article
577,577,"['gong', 'tam-tam']",75,song
779,779,['school bus'],75,school
908,908,['wing'],75,wine
482,482,['cassette player'],74,chess player
649,649,"['megalith', 'megalithic structure']",74,military structure
736,736,"['pool table', 'billiard table', 'snooker table']",74,snooker player
137,137,"['American coot', 'marsh hen', 'mud hen', 'water hen', 'Fulica americana']",74,water ride
436,436,"['beach wagon', 'station wagon', 'wagon', 'estate car', 'beach waggon', 'station wagg', ""waggon'"", '']",74,station
598,598,"['home theater', 'home theatre']",74,theatre
213,213,"['Irish setter', 'red setter']",74,presenter
405,405,"['airship', 'dirigible']",73,ship
358,358,"['polecat', 'fitch', 'foulmart', 'foumart', 'Mustela putorius']",73,poet
347,347,['bison'],73,prison
379,379,"['howler monkey', 'howler']",73,rower
192,192,"['cairn', 'cairn terrier']",73,casino
750,750,"['quilt', 'comforter', 'comfort', 'puff']",73,fort
746,746,"['puck', 'hockey puck']",73,hockey club
769,769,"['rule', 'ruler']",73,curler
774,774,['sandal'],73,canal
316,316,"['cicada', 'cicala']",73,cycad
311,311,"['grasshopper', 'hopper']",73,opera
470,470,"['candle', 'taper', 'wax light']",73,canal
292,292,"['tiger', 'Panthera tigris']",73,Singer
792,792,['shovel'],73,hotel
718,718,['pier'],73,painter
488,488,['chain'],73,casino
276,276,"['hyena', 'hyaena']",73,arena
273,273,"['dingo', 'warrigal', 'warragal', 'Canis dingo']",73,ginkgo
805,805,['soccer ball'],73,soccer club
734,734,"['police van', 'police wagon', 'paddy wagon', 'patrol wagon', 'wagon', 'black Maria']",73,weapon
824,824,['stole'],73,castle
837,837,"['sunglasses', 'dark glasses', 'shades']",73,sales
843,843,['swing'],73,single
458,458,"['brass', 'memorial tablet', 'plaque']",73,place
411,411,['apron'],73,person
360,360,['otter'],73,letter
950,950,['orange'],73,organ
572,572,['goblet'],73,noble
628,628,"['liner', 'ocean liner']",73,winery
700,700,['paper towel'],73,Water tower
148,148,"['killer whale', 'killer', 'orca', 'grampus', 'sea wolf', 'Orcinus orca']",73,skier
106,106,['wombat'],73,woman
101,101,['tusker'],73,skier
517,517,['crane'],73,crater
492,492,['chest'],73,cheese
18,18,['magpie'],73,image
695,695,['padlock'],73,lock
706,706,"['patio', 'terrace']",73,race
46,46,"['green lizard', 'Lacerta viridis']",73,green alga
138,138,['bustard'],73,star
692,692,['packet'],73,place
708,708,"['pedestal', 'plinth', 'footstall']",73,plant
545,545,"['electric fan', 'blower']",73,boxer
168,168,['redbone'],73,bone
675,675,['moving van'],73,moving image
673,673,"['mouse', 'computer mouse']",73,museum
361,361,"['skunk', 'polecat', 'wood pussy']",73,poet
528,528,"['dial telephone', 'dial phone']",73,mobile phone
499,499,"['cleaver', 'meat cleaver', 'chopper']",73,cave
885,885,['velvet'],73,event
595,595,"['harvester', 'reaper']",73,grape
894,894,"['wardrobe', 'closet', 'press']",73,priest
563,563,['fountain pen'],72,mountain pass
567,567,"['frying pan', 'frypan', 'skillet']",72,flowering plant
811,811,['space heater'],72,space shuttle
756,756,['rain barrel'],72,train carriage
122,122,"['American lobster', 'Northern lobster', 'Maine lobster', 'Homarus americanus']",71,American Leader
387,387,"['lesser panda', 'red panda', 'panda', 'bear cat', 'cat bear', 'Ailurus fulgens']",71,crater
444,444,"['bicycle-built-for-two', 'tandem bicycle', 'tandem']",71,Pandemic
123,123,"['spiny lobster', 'langouste', 'rock lobster', 'crawfish', 'crayfish', 'sea crawfish']",71,language
251,251,"['dalmatian', 'coach dog', 'carriage dog']",71,coach
534,534,"['dishwasher', 'dish washer', 'dishwashing machine']",71,disease
696,696,['paintbrush'],71,painter
934,934,"['hotdog', 'hot dog', 'red hot']",71,radio host
327,327,"['starfish', 'sea star']",71,parish
392,392,"['rock beauty', 'Holocanthus tricolor']",71,rocket
428,428,"['barrow', 'garden cart', 'lawn cart', 'wheelbarrow']",71,garden
321,321,['admiral'],71,mineral
790,790,['shopping basket'],71,shopping mall
584,584,['hair slide'],71,airline
295,295,"['American black bear', 'black bear', 'Ursus americanus', 'Euarctos americanus']",71,American Leader
967,967,['espresso'],71,professor
299,299,"['meerkat', 'mierkat']",71,mineral
780,780,['schooner'],71,school
66,66,"['horned viper', 'cerastes', 'sand viper', 'horned asp', 'Cerastes cornutus']",71,castle
919,919,['street sign'],71,street
596,596,['hatchet'],71,athlete
506,506,"['coil', 'spiral', 'volute', 'whorl', 'helix']",71,hospital
374,374,['langur'],71,language
493,493,"['chiffonier', 'commode']",71,conifer
469,469,"['caldron', 'cauldron']",71,cartoon
631,631,['lotion'],71,Election
460,460,"['breakwater', 'groin', 'groyne', 'mole', 'bulwark', 'seawall', 'jetty']",71,brewery
481,481,['cassette'],71,castle
162,162,['beagle'],71,beverage
133,133,['bittern'],71,battery
341,341,"['hog', 'pig', 'grunter', 'squealer', 'Sus scrofa']",71,square
10,10,"['brambling', 'Fringilla montifringilla']",71,brain
144,144,['pelican'],71,politician
727,727,['planetarium'],71,planet
575,575,"['golfcart', 'golf cart']",70,golf course
807,807,"['solar dish', 'solar collector', 'solar furnace']",70,solar eclipse
569,569,"['garbage truck', 'dustcart']",70,race track
267,267,['standard poodle'],70,standard
704,704,['parking meter'],70,painter
100,100,"['black swan', 'Cygnus atratus']",70,back scene
802,802,['snowmobile'],70,automobile
729,729,['plate rack'],70,race track
603,603,"['horse cart', 'horse-cart']",70,horse race
939,939,"['zucchini', 'courgette']",70,country estate
424,424,['barbershop'],70,archbishop
586,586,['half track'],70,race track
713,713,['photocopier'],70,photographer
768,768,['rugby ball'],70,rugby club
670,670,"['motor scooter', 'scooter']",70,motor race
509,509,"['confectionery', 'confectionary', 'candy store']",70,convention
403,403,"['aircraft carrier', 'carrier', 'flattop', 'attack aircraft carrier']",70,nascar driver
485,485,['CD player'],70,golf player
589,589,"['hand blower', 'blow dryer', 'blow drier', 'hair dryer', 'hair drier']",70,racing driver
920,920,"['traffic light', 'traffic signal', 'stoplight']",70,track list
127,127,"['white stork', 'Ciconia ciconia']",70,written work
20,20,"['water ouzel', 'dipper']",69,waterway tunnel
15,15,"['robin', 'American robin', 'Turdus migratorius']",69,American Leader
547,547,['electric locomotive'],69,locomotive
844,844,"['switch', 'electric switch', 'electrical switch']",68,electrical substation
669,669,['mosquito net'],67,mosque
630,630,['Loafer'],67,Lawyer
397,397,"['puffer', 'pufferfish', 'blowfish', 'globefish']",67,surfer
602,602,"['horizontal bar', 'high bar']",67,high diver
645,645,['maypole'],67,mayor
363,363,['armadillo'],67,Treadmill
648,648,"['medicine chest', 'medicine cabinet']",67,medician
597,597,['holster'],67,hotel
362,362,['badger'],67,bridge
646,646,"['maze', 'labyrinth']",67,magazine
661,661,['Model T'],67,model
665,665,['moped'],67,pope
396,396,['lionfish'],67,fish
749,749,"['quill', 'quill pen']",67,Mill
632,632,"['loudspeaker', 'speaker', 'speaker unit', 'loudspeaker system', 'speaker system']",67,skier
633,633,"['loupe', ""jeweler's loupe""]",67,pope
654,654,['minibus'],67,minister
388,388,"['giant panda', 'panda', 'panda bear', 'coon bear', 'Ailuropoda melanoleuca']",67,Band
377,377,['marmoset'],67,baronet
629,629,"['lipstick', 'lip rouge']",67,list
391,391,"['coho', 'cohoe', 'coho salmon', 'blue jack', 'silver salmon', 'Oncorhynchus kisutch']",67,coach
753,753,['radiator'],67,radio station
638,638,['maillot'],67,Pilot
639,639,"['maillot', 'tank suit']",67,Pilot
656,656,['minivan'],67,medician
754,754,"['radio', 'wireless']",67,radio host
618,618,['ladle'],67,lake
369,369,"['siamang', 'Hylobates syndactylus', 'Symphalangus syndactylus']",67,manga
664,664,['monitor'],67,minister
368,368,"['gibbon', 'Hylobates lar']",67,region
608,608,"['jean', 'blue jean', 'denim']",67,Ocean
367,367,"['chimpanzee', 'chimp', 'Pan troglodytes']",67,ship
490,490,"['chain mail', 'ring mail', 'mail', 'chain armor', 'chain armour', 'ring armor', ""ring mour'"", '']",67,canal
685,685,"['odometer', 'hodometer', 'mileometer', 'milometer']",67,cemetery
591,591,"['handkerchief', 'hankie', 'hanky', 'hankey']",67,bank
588,588,['hamper'],67,camera
532,532,"['dining table', 'board']",67,road
531,531,['digital watch'],67,digital camera
530,530,['digital clock'],67,digital camera
453,453,['bookcase'],67,book
529,529,"['diaper', 'nappy', 'napkin']",67,dancer
454,454,"['bookshop', 'bookstore', 'bookstall']",67,book
699,699,"['panpipe', 'pandean pipe', 'syrinx']",67,shrine
701,701,"['parachute', 'chute']",67,architect
523,523,['crutch'],67,church
521,521,['Crock Pot'],67,rocket
520,520,"['crib', 'cot']",67,cat
462,462,['broom'],67,book
463,463,"['bucket', 'pail']",67,rocket
464,464,['buckle'],67,muscle
724,724,"['pirate', 'pirate ship']",67,crater
516,516,['cradle'],67,castle
511,511,['convertible'],67,convention
502,502,"['clog', 'geta', 'patten', 'sabot']",67,agent
476,476,"['carousel', 'carrousel', 'merry-go-round', 'roundabout', 'whirligig']",67,case
501,501,['cloak'],67,lake
1,1,"['goldfish', 'Carassius auratus']",67,fish
484,484,['catamaran'],67,camera
486,486,"['cello', 'violoncello']",67,chancellor
450,450,"['bobsled', 'bobsleigh', 'bob']",67,noble
446,446,"['binder', 'ring-binder']",67,bridge
538,538,['dome'],67,document
566,566,"['French horn', 'horn']",67,horse
587,587,['hammer'],67,camera
406,406,['altar'],67,star
676,676,['muzzle'],67,muscle
582,582,"['grocery store', 'grocery', 'food market', 'market']",67,rower
579,579,"['grand piano', 'grand']",67,Band
677,677,['nail'],67,canal
416,416,"['balance beam', 'beam']",67,beach
419,419,['Band Aid'],67,Band
681,681,"['notebook', 'notebook computer']",67,book
420,420,['banjo'],67,bank
561,561,['forklift'],67,fort
539,539,"['doormat', 'welcome mat']",67,drama
558,558,"['flute', 'transverse flute']",67,file
557,557,"['flagpole', 'flagstaff']",67,flag
552,552,"['feather boa', 'boa']",67,bay
431,431,['bassinet'],67,baronet
551,551,['face powder'],67,office holder
688,688,"['oscilloscope', 'scope', 'cathode-ray oscilloscope', 'CRO']",67,pope
434,434,['bath towel'],67,Water tower
435,435,"['bathtub', 'bathing tub', 'bath', 'tub']",67,beach
546,546,['electric guitar'],67,electrical substation
690,690,['oxcart'],67,cat
496,496,['Christmas stocking'],67,Christian Doctrine
771,771,['safe'],67,sales
359,359,"['black-footed ferret', 'ferret', 'Mustela nigripes']",67,forest
110,110,"['flatworm', 'platyhelminth']",67,artwork
130,130,['flamingo'],67,flag
249,249,"['malamute', 'malemute', 'Alaskan malamute']",67,athlete
918,918,"['crossword puzzle', 'crossword']",67,professor
814,814,['speedboat'],67,speed skater
124,124,"['crayfish', 'crawfish', 'crawdad', 'crawdaddy']",67,fish
259,259,['Pomeranian'],67,comedian
922,922,['menu'],67,venue
116,116,"['chiton', 'coat-of-mail shell', 'sea cradle', 'polyplacophore']",67,historian
928,928,"['ice cream', 'icecream']",67,cricket team
929,929,"['ice lolly', 'lolly', 'lollipop', 'popsicle']",67,pope
801,801,['snorkel'],67,novel
787,787,"['shield', 'buckler']",67,shrine
800,800,"['slot', 'one-armed bandit']",67,Pilot
798,798,"['slide rule', 'slipstick']",67,statistic
931,931,"['bagel', 'beigel']",67,bridge
103,103,"['platypus', 'duckbill', 'duckbilled platypus', 'duck-billed platypus', ""Ornithorhyhus anatinus'"", '']",67,play
794,794,['shower curtain'],67,power station
789,789,['shoji'],67,ship
102,102,"['echidna', 'spiny anteater', 'anteater']",67,theatre
862,862,['torch'],67,monarch
933,933,['cheeseburger'],67,cheese
287,287,"['lynx', 'catamount']",67,canton
135,135,"['limpkin', 'Aramus pictus']",67,lipid
917,917,['comic book'],67,comic
913,913,['wreck'],67,work
142,142,['dowitcher'],67,writer
857,857,['throne'],67,shrine
211,211,"['vizsla', 'Hungarian pointer']",67,island
875,875,['trombone'],67,bone
876,876,"['tub', 'vat']",67,cat
187,187,['Yorkshire terrier'],67,horse trainer
182,182,['Border terrier'],67,horse trainer
887,887,['vestment'],67,department
893,893,"['wallet', 'billfold', 'notecase', 'pocketbook']",67,valley
219,219,"['cocker spaniel', 'English cocker spaniel', 'cocker']",67,rocket
852,852,['tennis ball'],67,tennis player
224,224,['groenendael'],67,green alga
158,158,['toy terrier'],67,old territory
838,838,"['sunscreen', 'sunblock', 'sun blocker']",67,lock
235,235,"['German shepherd', 'German shepherd dog', 'German police dog', 'alsatian']",67,station
902,902,['whistle'],67,wrestler
835,835,['sundial'],67,sound
153,153,"['Maltese dog', 'Maltese terrier', 'Maltese']",67,sales
150,150,['sea lion'],67,station
834,834,"['suit', 'suit of clothes']",67,saint
833,833,"['submarine', 'pigboat', 'sub', 'U-boat']",67,shrine
149,149,"['dugong', 'Dugong dugon']",67,dog
92,92,['bee eater'],67,speed skater
97,97,['drake'],67,lake
289,289,"['snow leopard', 'ounce', 'Panthera uncia']",67,bone
346,346,"['water buffalo', 'water ox', 'Asiatic buffalo', 'Bubalus bubalis']",67,amateur boxer
291,291,"['lion', 'king of beasts', 'Panthera leo']",67,Election
42,42,['agama'],67,game
33,33,"['loggerhead', 'loggerhead turtle', 'Caretta caretta']",67,rest area
764,764,['rifle'],67,reptile
29,29,"['axolotl', 'mud puppy', 'Ambystoma mexicanum']",67,atoll
987,987,['corn'],67,actor
342,342,"['wild boar', 'boar', 'Sus scrofa']",67,boxer
21,21,['kite'],67,skier
344,344,"['hippopotamus', 'hippo', 'river horse', 'Hippopotamus amphibius']",67,ship
19,19,['chickadee'],67,cricketer
349,349,"['bighorn', 'bighorn sheep', 'cimarron', 'Rocky Mountain bighorn', 'Rocky Mountain eep', ""Ovis canadensis'"", '']",67,cartoon
333,333,['hamster'],67,asteroid
17,17,['jay'],67,bay
991,991,['coral fungus'],67,fungus
13,13,"['junco', 'snowbird']",67,bird
12,12,"['house finch', 'linnet', 'Carpodacus mexicanus']",67,planet
9,9,"['ostrich', 'Struthio camelus']",67,district
352,352,"['impala', 'Aepyceros melampus']",67,animal
995,995,['earthstar'],67,artist
997,997,['bolete'],67,letter
5,5,"['electric ray', 'crampfish', 'numbfish', 'torpedo']",67,fish
2,2,"['great white shark', 'white shark', 'man-eater', 'man-eating shark', ""Carcharodon caharias'"", '']",67,monastery
45,45,"['Gila monster', 'Heloderma suspectum']",67,monastery
864,864,"['tow truck', 'tow car', 'wrecker']",67,tower
315,315,"['mantis', 'mantid']",67,artist
58,58,['water snake'],67,water ride
71,71,['scorpion'],67,decoration
958,958,['hay'],67,bay
308,308,['fly'],67,family
313,313,"['walking stick', 'walkingstick', 'stick insect']",67,insect
782,782,"['screen', 'CRT screen']",67,screenwriter
82,82,"['ruffed grouse', 'partridge', 'Bonasa umbellus']",67,bridge
966,966,['red wine'],67,wine
776,776,"['sax', 'saxophone']",67,sea
86,86,['partridge'],67,bridge
55,55,"['green snake', 'grass snake']",67,given name
301,301,"['ladybug', 'ladybeetle', 'lady beetle', 'ladybird', 'ladybird beetle']",67,bird
972,972,"['cliff', 'drop', 'drop-off']",67,group
974,974,['geyser'],67,Desert
50,50,"['American alligator', 'Alligator mississipiensis']",67,American Leader
