,imageNet_class,y_validation
0,"tench, Tinca tinca",['fish']
1,"goldfish, Carassius auratus","['insect', 'fish']"
2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon caharias',","['insect', 'fish', 'disease']"
3,"tiger shark, Galeocerdo cuvieri","['insect', 'fish']"
5,"electric ray, crampfish, numbfish, torpedo","['band', 'band', 'insect', 'militaryunit', 'weapon']"
9,"ostrich, Struthio camelus",['eukaryote']
10,"brambling, Fringilla montifringilla",['bird']
11,"goldfinch, Carduelis carduelis",['bird']
12,"house finch, linnet, Carpodacus mexicanus",['bird']
13,"junco, snowbird",['organisation']
14,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",['bird']
15,"robin, American robin, Turdus migratorius",['bird']
16,bulbul,['insect']
18,magpie,['bird']
19,chickadee,"['band', 'insect']"
20,"water ouzel, dipper",['insect']
22,"bald eagle, American eagle, Haliaeetus leucocephalus",['bird']
23,vulture,"['recordlabel', 'animal', 'eukaryote', 'species', 'bird']"
25,"European fire salamander, Salamandra salamandra","['insect', 'eukaryote']"
26,"common newt, Triturus vulgaris",['amphibian']
28,"spotted salamander, Ambystoma maculatum",['amphibian']
29,"axolotl, mud puppy, Ambystoma mexicanum","['amphibian', 'insect', 'amphibian']"
30,"bullfrog, Rana catesbeiana","['insect', 'amphibian']"
32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui","['eukaryote', 'eukaryote', 'insect', 'amphibian']"
33,"loggerhead, loggerhead turtle, Caretta caretta",['reptile']
34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",['reptile']
35,mud turtle,"['insect', 'reptile']"
36,terrapin,['eukaryote']
37,"box turtle, box tortoise",['reptile']
39,"common iguana, iguana, Iguana iguana","['reptile', 'insect', 'reptile']"
40,"American chameleon, anole, Anolis carolinensis",['insect']
41,"whiptail, whiptail lizard",['eukaryote']
42,agama,['reptile']
45,"Gila monster, Heloderma suspectum",['reptile']
46,"green lizard, Lacerta viridis",['reptile']
47,"African chameleon, Chamaeleo chamaeleon",['reptile']
48,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoeis',",['eukaryote']
49,"African crocodile, Nile crocodile, Crocodylus niloticus",['reptile']
50,"American alligator, Alligator mississipiensis",['reptile']
51,triceratops,['reptile']
52,"thunder snake, worm snake, Carphophis amoenus","['insect', 'reptile']"
53,"ringneck snake, ring-necked snake, ring snake","['eukaryote', 'reptile']"
55,"green snake, grass snake","['reptile', 'reptile']"
56,"king snake, kingsnake",['reptile']
57,"garter snake, grass snake",['reptile']
60,"night snake, Hypsiglena torquata",['reptile']
61,"boa constrictor, Constrictor constrictor","['insect', 'reptile']"
62,"rock python, rock snake, Python sebae",['reptile']
63,"Indian cobra, Naja naja","['eukaryote', 'insect', 'reptile']"
66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",['eukaryote']
67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",['eukaryote']
68,"sidewinder, horned rattlesnake, Crotalus cerastes","['insect', 'eukaryote']"
69,trilobite,['band']
70,"harvestman, daddy longlegs, Phalangium opilio","['animal', 'arachnid', 'eukaryote', 'species']"
73,"barn spider, Araneus cavaticus",['arachnid']
77,"wolf spider, hunting spider",['insect']
79,centipede,"['insect', 'animal']"
80,black grouse,['bird']
81,ptarmigan,['bird']
82,"ruffed grouse, partridge, Bonasa umbellus","['bird', 'animal', 'eukaryote', 'species', 'bird']"
83,"prairie chicken, prairie grouse, prairie fowl","['insect', 'bird', 'bird', 'bird']"
84,peacock,['bird']
86,partridge,"['animal', 'eukaryote', 'species', 'bird']"
88,macaw,"['settlement', 'country']"
90,lorikeet,['bird']
91,coucal,['insect']
92,bee eater,"['band', 'insect']"
94,hummingbird,"['album', 'bird']"
95,jacamar,"['place', 'location', 'bodyofwater', 'naturalplace', 'river', 'stream']"
98,"red-breasted merganser, Mergus serrator",['bird']
99,goose,"['personfunction', 'animal']"
100,"black swan, Cygnus atratus",['bird']
103,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhyhus anatinus',",['mammal']
104,"wallaby, brush kangaroo",['insect']
105,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus","['place', 'location', 'settlement', 'populatedplace', 'televisionshow', 'work', 'recordlabel', 'mammal']"
106,wombat,['anatomicalstructure']
107,jellyfish,['animal']
108,"sea anemone, anemone","['band', 'insect']"
110,"flatworm, platyhelminth","['animal', 'species']"
111,"nematode, nematode worm, roundworm",['animal']
113,snail,['device']
114,slug,['star']
115,"sea slug, nudibranch","['person', 'insect']"
117,"chambered nautilus, pearly nautilus, nautilus","['eukaryote', 'mollusca']"
118,"Dungeness crab, Cancer magister",['crustacean']
119,"rock crab, Cancer irroratus",['crustacean']
120,fiddler crab,['insect']
121,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodesamtschatica',",['insect']
122,"American lobster, Northern lobster, Maine lobster, Homarus americanus",['crustacean']
123,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish","['insect', 'single', 'song', 'work', 'musicalwork', 'insect', 'animal', 'crustacean', 'eukaryote', 'species', 'band', 'insect']"
124,"crayfish, crawfish, crawdad, crawdaddy","['band', 'insect', 'insect', 'animal', 'crustacean', 'eukaryote', 'species', 'magazine', 'writtenwork', 'periodicalliterature', 'work']"
125,hermit crab,"['insect', 'crustacean']"
